鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,建物,基隆市信義區深澳坑路2之5號7樓之21,0.0,住,,,1090604,土地0建物1車位0,七層,16,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850426,46.6,1,1,1,有,有,有,7500,161,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPOOMLMLOHPFFBC18CC
中正區,建物,基隆市中正區立德路98之1號,0.0,住,,,1090609,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711229,97.19,3,1,1,有,無,有,12000,123,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPPOMLMLOHPFFBC28CC
中正區,建物,基隆市中正區調和街296號10樓之1,0.0,住,,,1090615,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,136.8,3,1,2,有,有,無,12000,88,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPQOMLMLOHPFFBC38CC
中正區,建物,基隆市中正區調和街296號7樓之1,0.0,住,,,1090615,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,136.8,3,1,2,有,有,無,12000,88,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPXNMLNLOHPFFBC09CC
中正區,建物,基隆市中正區調和街296號7樓,0.0,住,,,1090615,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,144.06,3,1,2,有,有,無,12000,83,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPOOMLNLOHPFFBC28CC
中正區,建物,基隆市中正區調和街296號10樓,0.0,住,,,1090615,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,144.06,3,1,2,有,有,無,12000,83,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPPOMLNLOHPFFBC38CC
中正區,建物,基隆市中正區調和街296號11樓,0.0,住,,,1090615,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,144.06,3,1,2,有,有,無,12000,83,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPROMLNLOHPFFBC58CC
中正區,建物,基隆市中正區新豐街460之10號12樓,0.0,住,,,1090616,土地0建物1車位0,十二層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861121,39.61,1,1,1,有,有,有,7000,177,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPSOMLNLOHPFFBC68CC
中正區,建物,基隆市中正區調和街296號11樓之1,0.0,住,,,1090615,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,136.8,3,1,2,有,有,無,12000,88,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPRPMLNLOHPFFBC68CC
中正區,建物,基隆市中正區觀海街167號13樓,0.0,住,,,1090619,土地0建物1車位0,十三層,16,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880114,30.9,1,1,1,有,有,有,5600,181,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPSPMLNLOHPFFBC78CC
信義區,建物,基隆市信義區福民街71巷4號4樓,0.0,住,,,1090622,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740912,72.6,2,1,1,有,無,有,7900,109,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPUPMLNLOHPFFBC98CC
中正區,建物,基隆市中正區新豐街161巷98號,0.0,住,,,1090623,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051007,82.52,2,1,1,有,有,有,10000,121,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPWPMLNLOHPFFBC56CC
暖暖區,建物,基隆市暖暖區金華街267號4樓之10,0.0,住,,,1090611,土地0建物1車位0,四層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850105,35.239999999999995,1,1,1,有,有,有,6000,170,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPXNMLNLOHPFFCC56CC
暖暖區,建物,基隆市暖暖區碇內街262號4樓,0.0,住,,,1090618,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850217,99.98,2,1,1,有,有,有,8500,85,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPUOMLNLOHPFFCC98CC
中正區,房地(土地+建物),基隆市中正區信五路17號,11.2,商,,,1090622,土地2建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0720208,48.58,0,0,0,無,無,有,16000,329,,0.0,0,租期自109年9月1日至114年8月31日,RPQOMLNLOHPFFBC58DC
中正區,建物,基隆市中正區新豐街140號7樓,0.0,住,,,1090611,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850607,103.88,3,2,2,有,無,有,10000,96,,0.0,0,,RPPNMLPLOHPFFBC48CC
