鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
羅東鎮,建物,宜蘭縣羅東鎮純精路三段162之5號10樓,0.0,住,,,1090724,土地0建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851109,78.26,4,2,2,有,有,有,16500,211,,0.0,0,承租方戶籍遷入,RPQOMLQJQHPFFAG09CC
宜蘭市,建物,宜蘭縣宜蘭市公園路451巷10號四樓,0.0,商,,,1090717,土地0建物0車位0,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050130,18.18,1,0,1,有,有,有,15000,825,,0.0,0,分租一間套房,RPQNMLQJQHPFFBG09CC
宜蘭市,建物,宜蘭縣宜蘭市公園路451巷10號四樓,0.0,商,,,1090717,土地0建物0車位0,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050130,12.9,1,0,0,有,有,有,10000,775,,0.0,0,分租一間雅房,RPTNMLQJQHPFFBG76CC
礁溪鄉,建物,宜蘭縣礁溪鄉礁溪路二段132巷39號,76.0,,特定農業區,甲種建築用地,1090725,土地1建物0車位0,全,,透天厝,,,,89.24,2,2,2,有,無,無,10000,112,,0.0,0,,RPXNMLRJQHPFFBG27CC
礁溪鄉,建物,宜蘭縣礁溪鄉大忠路120之4號7樓,0.0,住,,,1090807,土地0建物1車位0,七層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870402,34.55,1,1,1,有,無,有,8500,246,,0.0,0,,RPPOMLRJQHPFFBG56CC
頭城鎮,建物,宜蘭縣頭城鎮頭濱路三段281號,0.0,住,,,1090805,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831105,109.32,1,0,1,有,無,有,9800,90,,0.0,0,,RPXOMLRJQHPFFBG37CC
羅東鎮,建物,宜蘭縣羅東鎮站東路170巷3號,23.53,住,,,1090810,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1030402,41.0,1,0,1,有,無,有,7500,183,,0.0,0,,RPWOMLKKQHPFFAG56CC
羅東鎮,建物,宜蘭縣羅東鎮樹人路13號3樓,0.0,住,,,1090811,土地0建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0820717,46.98,1,0,1,有,無,有,7500,160,,0.0,0,,RPPPMLLKQHPFFAG68CC
宜蘭市,建物,宜蘭縣宜蘭市中山路三段252號,0.0,商,,,1090808,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土加強磚造,0650915,353.16,0,0,0,無,無,無,28000,79,,0.0,0,,RPRNMLLKQHPFFBG78CC
宜蘭市,建物,宜蘭縣宜蘭市宜中路96號,0.0,住,,,1090722,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810528,171.38,4,2,2,有,有,有,15000,88,,0.0,0,,RPSOMLLKQHPFFBG98CC
頭城鎮,建物,宜蘭縣頭城鎮復興路135號2、3樓,0.0,住,,,1090808,土地1建物0車位0,見其他登記事項,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830905,146.63,4,1,3,有,無,無,13000,89,,0.0,0,,RPROMLRKQHPFFBG86CC
宜蘭市,建物,宜蘭縣宜蘭市金六結路335號,0.0,住,,,1090808,土地1建物0車位0,全,3,透天厝,住宅、樓梯間,鋼筋混凝土造,1041123,160.74,0,0,3,有,無,無,20000,124,,0.0,0,,RPPOMLLLQHPFFBG98EC
宜蘭市,建物,宜蘭縣宜蘭市成功路50之8號九樓,0.0,住,,,1090818,土地0建物1車位0,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820803,117.67,4,2,2,有,有,無,12000,102,,0.0,0,,RPOOMLLLQHPFFBG78DC
宜蘭市,建物,宜蘭縣宜蘭市林森路336巷21號5樓,0.0,住,,,1090822,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840918,80.92,4,2,2,有,有,有,12000,148,,0.0,0,,RPTNMLQLQHPFFBG96CC
五結鄉,建物,宜蘭縣五結鄉孝威路377號,0.0,,特定農業區,甲種建築用地,1090824,土地1建物0車位0,全,2,透天厝,住家用,ＲＣ造,1010903,594.47,9,3,9,有,無,無,45000,76,,0.0,0,,RPROMLQLQHPFFAG76CC
宜蘭市,建物,宜蘭縣宜蘭市大坡路一段116巷23號,0.0,住,,,1090826,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1040330,175.32,0,0,0,無,無,有,18000,103,,0.0,0,,RPQNMLLMQHPFFBG88CC
